timestamp,num_objects,min_ttc
1750323492.770592,0,inf
1750323492.793395,0,inf
1750323492.817281,0,inf
1750323492.933707,0,inf
1750323492.999677,0,inf
1750323493.117510,0,inf
1750323493.250010,0,inf
1750323493.445680,0,inf
1750323493.527800,0,inf
1750323493.601201,0,inf
1750323493.736035,0,inf
1750323493.803384,0,inf
1750323493.967784,0,inf
1750323494.102356,0,inf
1750323494.182303,2,36.478640
1750323494.242235,1,30.872760
1750323494.316906,1,22.285454
1750323494.482659,0,inf
1750323494.509508,1,45.190753
1750323494.678598,1,31.252709
1750323494.775824,1,130.745807
1750323494.841735,1,114.125542
1750323494.941422,2,21.296506
1750323495.032438,0,inf
1750323495.118759,1,50.044735
1750323495.189742,1,61.441244
1750323495.356893,1,50.489070
1750323495.427587,1,74.983124
1750323495.561989,0,inf
1750323495.626133,1,58.339967
1750323495.709886,1,84.848517
1750323495.782858,1,81.330724
1750323495.856965,1,116.047715
1750323496.178282,1,inf
1750323496.377516,0,inf
1750323496.407470,1,inf
1750323496.486438,1,inf
1750323496.558233,1,inf
1750323496.658470,1,inf
1750323496.934259,1,inf
1750323497.068297,1,inf
1750323497.122571,1,inf
1750323497.184207,1,inf
