timestamp,num_objects,min_ttc
1750432415.363813,0,inf
1750432415.413211,0,inf
1750432415.480786,2,1.196890
1750432415.560699,2,1.915226
1750432416.175905,1,1.825554
1750432416.273024,1,inf
1750432416.468435,1,inf
1750432416.523677,1,1.780245
1750432416.609777,0,inf
1750432416.668951,2,inf
1750432417.115707,0,inf
1750432417.162338,1,inf
1750432417.283030,2,inf
1750432417.379653,0,inf
1750432417.402303,1,inf
1750432417.445584,1,inf
1750432417.501923,2,inf
1750432418.206209,0,inf
1750432418.273521,0,inf
1750432418.309675,3,inf
1750432418.367998,3,inf
1750432418.456741,1,inf
1750432418.506073,1,inf
1750432418.742920,2,1.736412
1750432418.779453,2,1.806142
1750432419.052400,0,inf
1750432419.617100,1,2.612750
1750432419.764045,0,inf
1750432419.828320,1,inf
1750432419.960591,0,inf
1750432420.053251,0,inf
1750432420.160240,0,inf
1750432420.762105,0,inf
1750432420.919060,0,inf
1750432421.071555,2,1.858144
1750432421.117897,3,inf
1750432421.228107,6,1.031678
1750432421.864266,2,inf
1750432421.918794,1,inf
1750432422.037737,3,inf
1750432422.131123,3,1.842153
1750432422.195730,2,1.694180
1750432422.867693,5,1.427905
1750432422.915882,1,2.164388
1750432423.042264,1,1.963572
1750432423.167066,0,inf
1750432423.233531,0,inf
1750432423.840662,3,1.482571
1750432423.954303,5,1.352418
1750432424.053373,5,1.610627
1750432424.121150,5,1.510576
1750432424.254477,3,1.381627
1750432424.418103,0,inf
1750432424.517323,0,inf
1750432424.688932,2,inf
1750432424.783547,0,inf
1750432424.846983,0,inf
1750432425.665229,1,1.074981
1750432425.776036,0,inf
1750432425.969490,2,1.176892
1750432426.017292,1,inf
1750432426.065536,1,inf
1750432426.221704,1,inf
1750432432.958220,0,inf
1750432433.023256,1,inf
1750432433.142938,1,inf
1750432433.205075,3,inf
1750432433.312158,1,inf
1750432433.477421,1,1.052650
1750432433.604799,2,0.904661
1750432433.633103,2,inf
1750432433.924749,0,inf
1750432433.978654,1,1.548034
1750432434.032516,4,inf
1750432434.086946,2,inf
1750432434.199163,2,1.706466
1750432434.318935,2,inf
1750432434.432421,2,inf
1750432435.498478,1,1.106518
1750432435.557585,3,0.880769
1750432435.607889,3,inf
1750432435.743281,3,inf
1750432435.880306,2,inf
1750432435.914468,0,inf
1750432436.408684,3,2.011613
1750432436.581692,2,1.575604
1750432436.655648,3,1.538083
1750432436.745453,3,1.364537
1750432436.849972,1,1.209866
1750432436.900515,2,1.265974
1750432438.731509,1,inf
1750432438.993028,3,1.454553
1750432439.048962,0,inf
1750432439.097781,2,1.258547
1750432439.285048,2,1.927989
1750432439.494828,3,1.713008
1750432439.938332,2,1.689124
1750432440.018030,2,1.646250
1750432440.318482,2,1.690493
1750432440.366271,3,1.516969
1750432440.859010,3,1.401855
1750432440.943804,3,1.321191
1750432441.026427,3,1.529225
1750432441.206819,2,1.958976
1750432441.252240,0,inf
1750432441.423915,0,inf
1750432441.465529,0,inf
1750432441.798463,1,inf
1750432442.107217,3,1.604694
1750432442.161980,4,1.445231
1750432443.776884,3,1.343549
1750432443.833094,0,inf
1750432444.016685,5,1.274765
1750432444.061142,6,1.192557
1750432444.690505,2,2.193628
1750432444.744233,2,2.159067
1750432444.818752,3,1.933885
1750432444.896371,1,inf
