timestamp,num_objects,min_ttc
1750432533.038926,0,inf
1750432533.059846,1,1.539174
1750432533.077828,3,1.382135
1750432533.297249,1,inf
1750432533.354008,0,inf
1750432533.506944,0,inf
1750432533.571272,1,inf
1750432534.441387,0,inf
1750432534.492174,1,2.122556
1750432535.179776,3,1.249056
1750432535.266824,3,1.201151
1750432535.361873,4,0.986632
1750432535.409043,4,1.090590
1750432536.278466,2,0.939345
1750432536.362908,2,0.951672
1750432536.412227,2,1.475909
1750432536.512327,4,1.226603
1750432536.619136,1,1.089418
1750432541.993654,0,inf
1750432542.120697,2,inf
1750432542.190444,4,inf
1750432542.253217,4,inf
1750432542.324629,1,inf
1750432542.717814,0,inf
1750432542.767493,0,inf
1750432542.849675,1,inf
1750432542.889677,4,1.561157
1750432542.963152,3,inf
1750432543.080933,0,inf
1750432543.147312,3,inf
1750432543.395770,3,1.551350
1750432543.467270,1,2.135789
1750432543.729359,3,1.759798
1750432543.922515,3,1.508510
1750432543.985949,4,1.403808
1750432544.042763,2,1.248472
1750432544.152909,1,2.597156
1750432544.194839,2,2.441690
1750432544.401850,3,1.356710
1750432544.446686,4,1.433309
1750432544.631973,1,1.949785
1750432544.796527,1,1.784745
1750432544.849520,1,1.645619
1750432544.944847,1,1.456992
1750432545.070188,3,1.382924
1750432545.207955,4,1.583686
1750432545.222132,2,inf
1750432545.405791,4,1.564871
1750432545.543996,3,1.936316
1750432545.755631,2,1.701241
1750432545.810711,2,1.602329
1750432545.979919,4,1.497911
1750432546.027004,4,1.456687
1750432546.159075,3,1.336505
1750432546.219630,2,1.338185
1750432546.330354,1,1.181161
1750432546.368931,4,1.226026
1750432546.487693,2,1.320422
1750432546.656601,4,1.138916
1750432546.746453,3,0.904062
1750432546.877881,3,1.301186
1750432546.965660,2,inf
1750432547.024177,3,1.563083
1750432547.091856,7,1.536292
1750432547.145498,3,2.042392
1750432547.314116,0,inf
1750432548.615117,0,inf
1750432548.719933,0,inf
1750432548.770260,1,inf
1750432548.926879,0,inf
1750432548.967784,0,inf
1750432549.501948,0,inf
1750432549.676339,1,inf
1750432549.736891,2,inf
1750432550.643639,0,inf
1750432550.682382,1,1.691382
1750432551.100133,0,inf
1750432551.144908,2,1.593286
1750432551.202409,2,1.531320
1750432551.359630,2,1.541637
1750432551.393566,1,1.384105
1750432552.021603,0,inf
1750432552.075718,3,1.430650
1750432552.172208,3,4.484797
1750432552.222489,2,inf
1750432552.316065,0,inf
1750432553.223468,0,inf
1750432553.260825,1,inf
1750432553.365598,3,3.863331
1750432553.487710,1,inf
1750432553.558346,3,3.852164
1750432553.613695,2,3.852993
1750432554.098754,0,inf
1750432554.229824,2,3.625523
1750432554.349874,5,3.892458
1750432554.700787,1,3.783773
1750432554.804890,6,3.919767
1750432554.893471,6,3.829845
1750432555.324385,3,3.900314
1750432555.672879,2,4.069283
1750432555.783538,3,4.706161
1750432555.840245,3,4.314287
1750432556.352891,2,4.670063
1750432556.445147,5,5.396830
1750432556.843070,3,6.538489
1750432556.878451,4,5.801373
1750432559.033365,1,5.238892
1750432559.096793,6,6.231874
1750432559.143270,5,7.175950
1750432559.380558,2,7.859812
1750432559.459169,2,7.253572
1750432559.806556,2,7.165687
1750432559.891591,2,7.052368
1750432560.047917,2,7.638732
1750432560.218384,2,7.115336
1750432560.682081,2,8.495990
1750432560.894765,2,9.546715
1750432560.937194,2,9.897417
1750432561.011955,2,10.350611
1750432561.087992,2,9.811356
1750432561.615724,1,11.242456
1750432561.697941,1,12.180083
1750432561.775129,1,12.367888
1750432561.981945,1,12.590480
1750432562.034791,1,12.115675
1750432562.464599,1,14.043135
1750432562.546714,1,14.250268
1750432562.758574,1,15.737649
1750432562.794812,1,16.034513
1750432562.957902,1,13.906808
1750432564.265629,0,inf
1750432564.880345,0,inf
1750432564.965167,1,22.762966
1750432565.396765,0,inf
1750432565.889131,0,inf
1750432565.926153,1,30.602840
1750432566.127882,1,32.648914
1750432566.219074,1,30.060257
1750432566.296336,1,30.986607
1750432566.704831,1,34.006878
1750432567.322736,0,inf
1750432567.368233,1,35.641784
1750432567.445537,1,29.030068
1750432567.607851,2,30.289665
1750432567.774964,1,41.487036
1750432569.111010,0,inf
1750432569.530833,0,inf
1750432569.698540,1,133.878059
