timestamp,num_objects,min_ttc
1750342578.936554,0,inf
1750342578.984483,0,inf
1750342579.047068,5,1.726929
1750342579.111644,4,1.613356
1750342579.201354,6,1.426384
1750342579.291497,2,3.037980
1750342579.410450,2,2.782766
1750342579.488880,2,2.574804
1750342579.627336,2,2.105145
1750342579.839589,5,1.485511
1750342579.885124,0,inf
1750342579.959879,2,2.216243
1750342580.072829,1,1.680609
1750342580.258475,2,1.787241
1750342580.362401,2,1.968544
1750342580.433242,3,1.713828
1750342580.470908,3,1.985728
1750342580.603508,2,2.584224
1750342580.758389,3,1.716099
1750342580.813347,2,1.551167
1750342581.013633,2,2.084404
1750342581.052624,1,2.117768
1750342581.125123,3,2.073261
1750342581.216571,2,2.257795
1750342581.290273,2,2.345631
1750342581.460887,2,1.866819
1750342581.519989,2,2.467711
1750342581.570046,0,inf
1750342581.719447,1,3.018455
1750342581.760104,1,4.020070
1750342581.851789,1,3.259702
1750342581.990963,1,3.296610
1750342582.037544,1,2.085610
1750342584.114747,0,inf
1750342584.328591,0,inf
1750342584.511571,0,inf
1750342584.595497,0,inf
1750342584.637966,0,inf
1750342584.761556,0,inf
1750342584.979929,0,inf
1750342585.031194,0,inf
1750342585.397660,0,inf
1750342585.472004,1,7.802126
1750342585.522857,1,7.508394
1750342585.636965,1,7.982620
1750342585.675503,2,7.262412
1750342585.763377,2,7.549940
1750342585.894184,2,6.690485
1750342586.007126,3,6.738700
1750342586.192030,2,6.969596
1750342586.304740,2,7.103751
1750342586.340630,2,6.584254
1750342586.543097,2,6.359452
1750342586.703306,5,6.167641
1750342586.873064,4,5.935541
1750342586.949173,7,5.882622
1750342587.353770,7,5.364091
1750342587.548765,7,5.607660
1750342587.634995,5,5.824543
1750342587.684360,7,5.752946
1750342587.835212,7,5.799177
1750342587.920169,5,6.122522
1750342588.032957,4,6.420133
1750342588.075636,5,6.475116
1750342588.363813,3,7.386363
1750342588.386274,2,7.867123
1750342588.493661,4,7.905762
1750342588.588058,2,8.865819
1750342588.718857,2,9.727790
1750342588.821127,2,10.001508
1750342588.977969,2,10.484757
1750342589.316730,2,11.492184
1750342589.349540,5,10.466998
