timestamp,num_objects,min_ttc
1750431790.717554,0,inf
1750431790.783717,0,inf
1750431790.829398,0,inf
1750431790.892173,0,inf
1750431790.978082,4,5.972979
1750431791.096109,3,5.653143
1750431791.234054,3,4.631366
1750431791.288002,3,4.499954
1750431791.374114,4,4.885936
1750431791.489619,5,4.998324
1750431812.527578,0,inf
1750431812.621135,0,inf
1750431812.714582,0,inf
1750431812.854454,4,inf
1750431812.890994,2,inf
1750431813.443601,0,inf
1750431813.530517,2,7.032460
1750431813.636405,2,8.109325
1750431814.099253,2,5.255757
1750431814.174157,3,5.454887
1750431814.215774,4,5.566220
1750431814.292127,4,7.273432
1750431814.402348,2,6.542039
1750431814.507592,3,7.293714
1750431814.616738,3,7.456381
1750431814.707974,2,7.339305
1750431814.753546,2,7.064783
1750431814.834299,2,7.271532
1750431814.943645,2,6.806448
1750431815.027547,2,6.295846
1750431815.153215,2,6.306277
1750431815.239611,2,7.039869
1750431815.305641,1,7.351268
1750431815.434109,1,9.214927
1750431815.458402,2,12.601319
1750431815.568318,1,16.307369
1750431815.603144,2,13.904978
1750431815.816073,1,22.065352
1750431815.847192,1,22.381628
1750431815.886574,1,14.818397
1750431815.943370,2,17.141656
1750431815.993538,2,27.774291
1750431816.792481,0,inf
1750431817.443444,0,inf
1750431817.508020,1,39.922766
1750431817.669864,1,47.346664
1750431818.499286,0,inf
1750431818.591703,0,inf
1750431818.842339,3,inf
1750431818.943664,2,inf
1750431818.991096,1,inf
1750431820.389295,0,inf
1750431820.909885,0,inf
1750431820.946558,1,745.917065
1750431821.005843,3,inf
1750431821.111144,1,inf
1750431821.208837,1,2742.538134
1750431821.257965,1,inf
1750431850.948520,0,inf
1750431851.036329,6,inf
1750431851.122373,0,inf
1750431851.586213,0,inf
1750431851.728545,0,inf
1750431851.783834,1,inf
1750431851.831481,2,inf
1750431851.961338,2,inf
1750431863.659614,0,inf
1750431863.787105,0,inf
1750431863.829369,1,inf
1750431863.896810,0,inf
1750431864.012891,1,inf
1750431864.038393,1,inf
1750432004.438771,0,inf
1750432004.586214,3,inf
1750432004.761235,0,inf
1750432004.867547,0,inf
1750432005.029651,0,inf
1750432005.158550,0,inf
1750432005.282098,0,inf
1750432005.431952,0,inf
1750432006.023977,0,inf
1750432006.108030,1,inf
1750432006.703066,0,inf
1750432006.741788,2,26.709203
1750432006.821211,1,24.941073
1750432006.985012,1,22.879519
1750432007.331179,2,18.115276
1750432007.439069,2,18.238018
1750432007.816507,2,16.611939
1750432008.247599,2,16.080409
1750432008.387826,3,15.141595
1750432008.620835,3,14.657510
1750432008.707333,2,14.279576
1750432008.838465,4,7.550028
1750432008.895122,4,10.546914
1750432009.163567,3,9.655053
1750432009.217018,4,5.666509
1750432009.279397,4,5.455572
1750432009.398553,5,4.986384
1750432009.461236,4,8.545257
1750432009.577348,3,5.082641
1750432009.616156,3,10.737825
1750432009.693494,3,24.338767
1750432009.780772,5,11.220502
1750432009.920295,3,12.410591
1750432010.009442,2,27.693875
1750432010.117370,5,14.365809
1750432010.768017,2,15.580872
1750432010.839975,5,16.843079
1750432010.944662,4,17.811973
1750432011.549572,0,inf
1750432011.607903,0,inf
1750432011.903965,2,inf
1750432012.118818,0,inf
1750432012.178122,1,30.719632
1750432012.349782,2,16.650328
1750432012.581300,1,28.611315
1750432012.855658,1,23.398785
1750432012.980062,3,18.703438
1750432013.125726,1,23.729122
1750432013.172210,5,15.895240
