timestamp,num_objects,min_ttc
1750356189.281181,0,inf
1750356189.418931,0,inf
1750356189.462515,0,inf
1750356189.609291,0,inf
1750356189.737635,2,inf
1750356189.898657,1,inf
1750356190.119444,2,1.605524
1750356190.210781,3,1.493605
1750356190.403522,2,1.466269
1750356190.729945,1,1.427128
1750356190.833348,2,1.756640
1750356191.119466,3,3.632078
1750356191.268008,4,3.904952
1750356191.417495,3,inf
1750356191.504093,1,3.687875
1750356191.920989,3,2.033790
1750356191.951820,3,3.455479
1750356192.334919,1,3.634068
1750356192.358373,2,3.375511
1750356192.512012,2,inf
1750356192.909127,4,2.987252
1750356193.121637,6,2.705526
1750356193.322197,6,2.532204
1750356193.513057,5,2.440001
1750356193.611044,5,2.454396
1750356193.947783,3,2.475703
1750356194.007899,7,2.429286
1750356194.233926,4,2.412108
1750356194.314430,6,2.330862
1750356194.513368,4,2.502361
1750356194.643479,5,2.470545
1750356194.732813,5,2.415881
1750356194.933051,5,2.606468
1750356195.310621,4,2.642298
1750356195.420129,4,2.204411
1750356195.531331,5,2.225827
1750356195.846531,7,2.120519
1750356196.231536,3,2.237693
1750356196.325719,3,1.903983
1750356196.441733,4,1.760291
1750356197.223868,2,1.627001
1750356197.348430,2,3.838121
1750356197.523611,1,4.009175
1750356197.627502,4,3.305893
1750356197.751698,7,3.092061
1750356198.220786,3,2.943538
1750356198.449065,2,3.613089
1750356198.544714,3,2.663575
1750356199.042788,2,2.528181
1750356199.266110,2,2.520569
1750356199.470197,2,2.504377
1750356199.559107,3,2.248711
1750356199.776357,2,2.584934
1750356199.848644,2,2.862458
1750356199.926078,4,2.156031
1750356200.177589,3,7.277203
1750356200.273080,3,9.746522
1750356200.454349,2,inf
1750356200.664944,2,2.789612
1750356201.025450,1,2.204978
1750356201.107890,2,8.399424
1750356201.188895,3,11.670516
1750356201.364862,2,9.346064
