timestamp,num_objects,min_ttc
1750097025.955974,0,inf
1750097025.978089,0,inf
1750097025.998470,0,inf
1750097026.051097,0,inf
1750097026.271412,0,inf
1750097026.437073,0,inf
1750097026.465889,0,inf
1750097026.612914,0,inf
1750097026.741074,0,inf
1750097026.805212,0,inf
1750097026.969427,0,inf
1750097027.194207,0,inf
1750097027.249528,0,inf
1750097027.354136,0,inf
1750097027.443983,0,inf
1750097027.492115,0,inf
1750097027.754431,0,inf
1750097027.826464,0,inf
1750097027.887078,0,inf
1750097027.944970,0,inf
1750097028.075277,0,inf
1750097028.340458,0,inf
1750097028.412956,0,inf
1750097028.494863,0,inf
1750097028.559827,0,inf
1750097028.610184,0,inf
1750097028.693748,0,inf
1750097028.815565,0,inf
1750097028.881755,1,23.147182
1750097029.008257,1,19.870821
1750097029.077642,1,24.172098
1750097029.561511,0,inf
1750097029.627251,1,31.582349
1750097029.727185,1,32.078269
1750097030.413761,1,10.964548
1750097030.442304,0,inf
1750097030.805831,0,inf
1750097031.000826,1,inf
1750097031.106764,1,inf
1750097031.167842,1,inf
1750097031.288511,1,inf
1750097031.334496,1,inf
1750097031.395072,1,inf
1750097031.631842,1,inf
1750097031.660537,1,inf
1750097031.827130,2,26.096750
1750097031.978324,3,11.172954
1750097032.196769,2,31.976479
1750097032.247072,2,18.721415
1750097032.353602,3,37.195103
1750097032.391807,5,13.213581
1750097032.597262,5,21.855050
1750097032.688853,3,25.032875
1750097032.943859,5,43.799014
1750097033.013773,4,45.448810
1750097033.107796,7,24.477590
1750097033.265211,7,25.143515
1750097033.407794,6,17.590170
1750097033.449076,4,19.408384
1750097033.586864,7,17.226379
1750097033.751861,5,19.544633
1750097033.890827,4,21.550389
1750097033.965634,4,19.106184
1750097034.010144,4,30.121348
1750097034.095911,4,23.426229
1750097034.222636,6,26.297284
1750097034.255966,4,49.142401
1750097034.358130,4,16.483127
1750097034.502883,5,15.538393
1750097034.555076,6,9.294375
1750097034.600137,5,29.722365
1750097034.697033,6,28.846198
1750097034.794809,3,92.555874
1750097034.932437,3,inf
1750097034.978931,3,29.960800
1750097035.094785,3,21.889002
1750097035.382140,2,6.283317
1750097035.431191,2,6.687417
1750097035.632646,2,10.495804
1750097035.707341,2,12.998393
1750097035.836934,2,3.844725
1750097035.977663,2,46.741529
1750097036.096552,2,inf
1750097036.143037,2,inf
1750097036.227204,2,inf
1750097036.351653,1,inf
1750097036.399455,1,inf
1750097036.630249,2,inf
1750097036.655336,1,inf
1750097036.773675,1,inf
1750097036.929972,1,inf
1750097036.978782,1,inf
1750097037.044338,1,inf
1750097037.230376,1,inf
1750097037.475611,1,inf
1750097037.541371,1,inf
1750097037.609423,1,inf
1750097037.740885,1,inf
1750097037.893218,1,inf
1750097038.055680,0,inf
1750097038.098454,1,inf
1750097038.182891,1,inf
1750097038.329628,1,inf
1750097038.552404,0,inf
1750097038.670766,1,inf
1750097038.805025,1,60.138466
1750097038.988605,0,inf
1750097039.032333,0,inf
1750097039.201576,0,inf
1750097039.332334,1,9.726928
1750097039.387160,3,12.203846
1750097039.437248,2,11.999261
1750097039.630134,1,178.587741
1750097039.799674,1,26.070101
1750097039.859539,1,18.827816
1750097040.032701,2,10.983136
1750097040.148396,2,11.569960
1750097040.190471,1,inf
1750097040.292295,1,95.355457
1750097040.378134,1,1081.794471
1750097040.643935,2,inf
1750097040.678981,3,inf
1750097040.789695,2,inf
1750097040.925472,2,inf
1750097040.952118,1,inf
1750097041.112975,1,inf
1750097041.277344,1,inf
1750097041.429889,1,inf
1750097041.463187,2,inf
1750097041.609476,0,inf
1750097041.730496,1,20.566859
1750097041.807120,1,16.633110
1750097041.984131,0,inf
1750097042.317043,0,inf
1750097042.389776,1,inf
1750097042.438490,1,inf
1750097042.622945,0,inf
1750097042.848547,1,inf
1750097042.922503,2,inf
1750097043.029115,1,inf
1750097043.204245,0,inf
1750097043.322260,2,inf
1750097043.446208,2,inf
1750097043.486000,2,inf
1750097043.647238,2,inf
1750097043.761512,1,inf
1750097043.791991,1,inf
1750097043.844933,1,inf
1750097043.888556,1,inf
1750097043.991926,0,inf
1750097044.087947,0,inf
1750097044.181205,0,inf
1750097044.337878,0,inf
1750097044.388819,0,inf
1750097044.555456,0,inf
1750097044.591203,0,inf
1750097044.707631,0,inf
1750097044.776883,0,inf
1750097044.846440,0,inf
1750097044.938762,0,inf
1750097045.093547,0,inf
1750097045.133606,0,inf
1750097045.331091,0,inf
1750097045.492188,0,inf
1750097045.527682,0,inf
1750097045.683527,0,inf
1750097045.828594,0,inf
1750097045.884744,0,inf
1750097046.031325,0,inf
1750097046.082827,0,inf
1750097046.226094,0,inf
1750097046.326299,0,inf
1750097046.380258,0,inf
1750097046.422985,0,inf
1750097046.513262,0,inf
1750097046.662591,1,36.253912
1750097046.701205,1,26.010915
1750097046.858781,1,34.712716
1750097047.016521,0,inf
1750097047.059975,0,inf
1750097047.242209,0,inf
1750097047.343168,1,15.131294
1750097047.390797,1,21.016047
1750097047.557256,0,inf
1750097047.590886,1,38.395177
1750097047.734705,1,141.990405
1750097047.943318,0,inf
1750097048.029992,1,85.293362
1750097048.065212,1,94.837235
1750097048.225824,1,153.458886
1750097048.409086,1,inf
1750097048.537820,1,inf
1750097048.620437,1,inf
1750097048.670455,1,inf
1750097048.898612,1,inf
1750097048.948312,1,inf
1750097049.127428,1,inf
1750097049.164149,1,inf
1750097049.280181,1,inf
1750097049.379209,1,inf
1750097049.474471,1,inf
1750097049.647383,1,inf
1750097049.759900,1,inf
1750097049.928013,1,15.223604
1750097049.993238,2,13.836314
1750097050.041684,2,12.541625
1750097050.226428,2,10.721515
1750097050.321297,1,inf
1750097050.535226,0,inf
1750097050.595489,1,inf
1750097050.843951,0,inf
1750097050.903704,1,16.579694
1750097051.109405,1,19.294568
1750097051.121841,1,20.335159
1750097051.227020,1,28.337374
1750097051.383089,1,33.223011
1750097051.441580,1,28.749196
1750097051.646682,1,10.130357
1750097051.688012,2,18.374800
1750097051.787854,2,49.842192
1750097052.142904,3,21.809391
1750097052.187448,3,12.350490
1750097052.512488,3,33.492061
1750097052.589702,3,26.700269
1750097052.606786,3,18.117307
1750097052.898912,2,98.047115
1750097052.931140,1,20.040375
1750097053.058585,2,75.424101
1750097053.196639,2,36.969647
1750097053.451461,0,inf
1750097053.516840,2,47.707837
1750097053.627419,1,33.333895
1750097053.734395,1,42.276770
1750097054.035808,0,inf
1750097054.093937,1,41.963574
1750097054.181305,2,129.917524
1750097054.386759,0,inf
1750097054.447079,2,inf
1750097054.544449,2,inf
1750097054.599754,2,inf
1750097054.713929,2,inf
1750097054.795251,2,inf
1750097054.896418,2,inf
1750097054.984252,2,inf
1750097055.098542,2,inf
1750097055.333993,0,inf
1750097055.427295,2,inf
1750097055.712312,2,inf
1750097055.778091,2,inf
1750097055.872605,2,inf
1750097055.980537,1,inf
1750097056.178868,1,50.150617
1750097056.214318,1,50.115011
1750097056.350242,1,23.381172
1750097056.405917,1,18.712001
1750097056.495843,1,14.412645
1750097056.552996,1,116.388279
1750097056.660039,1,19.226137
1750097056.752287,1,12.860788
1750097056.838983,1,8.477466
1750097056.951099,0,inf
1750097057.015434,0,inf
1750097057.232482,0,inf
1750097057.383169,0,inf
1750097057.494093,0,inf
1750097057.652049,0,inf
1750097057.794592,0,inf
1750097057.887256,0,inf
1750097058.074078,1,8.873478
1750097058.120582,1,8.518876
1750097058.263456,1,8.301441
1750097058.303224,1,8.307254
1750097058.390806,1,7.550043
1750097058.530420,2,7.435767
1750097058.795165,5,7.033876
1750097058.840573,5,6.806794
1750097058.888108,4,6.924586
1750097058.963890,6,6.313674
1750097059.103709,6,5.804131
1750097059.196040,4,5.580777
1750097059.365661,8,5.577019
1750097059.396965,8,5.743849
1750097059.517196,12,5.715819
1750097059.560231,9,5.809938
1750097059.722561,12,5.446961
1750097059.798790,8,5.487688
1750097059.857772,6,5.496100
1750097059.939272,6,5.515554
1750097060.046310,5,5.464922
1750097060.164864,4,5.701491
1750097060.306225,5,5.648539
1750097060.362706,6,5.688574
1750097060.431958,5,6.375122
1750097060.544450,6,6.027521
1750097060.654144,8,6.346510
1750097060.705827,6,6.494657
1750097060.778048,5,5.791808
1750097060.820884,7,6.282427
1750097060.938565,4,7.213082
1750097061.054522,4,7.212929
1750097061.126146,4,7.249764
1750097061.313450,7,7.398739
1750097061.468784,6,6.814664
1750097061.559655,4,7.321854
1750097061.692016,5,7.194989
1750097061.744703,4,6.111368
1750097061.954926,4,6.840795
1750097062.044032,4,6.601677
1750097062.101003,3,6.895175
1750097062.204076,2,6.688851
1750097062.303484,4,6.022476
1750097062.436382,3,5.446137
1750097062.525121,4,5.217453
1750097062.603832,2,4.742109
1750097062.752478,1,5.007448
1750097062.851562,1,4.700724
1750097062.954102,5,4.598764
1750097063.008183,5,4.478798
1750097063.123933,5,4.261809
