timestamp,num_objects,min_ttc
1750356551.045560,0,inf
1750356551.074847,1,0.956305
1750356551.094885,0,inf
1750356551.217501,2,inf
1750356551.319670,0,inf
1750356551.373020,1,inf
1750356551.658604,2,1.886218
1750356551.711411,0,inf
1750356551.878196,1,inf
1750356551.985473,1,inf
1750356552.304593,1,2.447485
1750356552.548620,1,2.241575
1750356552.815842,2,1.964465
1750356552.936390,3,1.818436
1750356553.127303,4,1.702207
1750356553.209713,5,1.535417
1750356553.393102,5,1.384290
1750356553.423290,7,1.420986
1750356553.573094,4,1.236166
1750356553.616203,6,1.105604
1750356553.803460,3,1.062265
1750356553.851211,3,0.895230
1750356554.107711,2,0.760815
1750356554.166806,2,0.653988
1750356554.296550,2,0.618176
1750356554.418914,1,inf
1750356554.496164,2,2.312491
1750356554.551229,3,2.166931
1750356554.690448,1,2.145678
1750356554.843063,2,1.977354
1750356554.918942,2,1.740794
1750356555.082208,3,1.815225
1750356555.130552,1,2.099194
1750356555.332701,3,2.146461
1750356555.419724,3,1.947479
1750356555.612496,3,2.008116
1750356555.674361,2,1.913318
1750356555.880896,1,1.875308
1750356556.019808,1,1.767321
1750356556.147808,2,1.345506
1750356556.198205,1,1.793135
1750356556.236277,2,1.785670
1750356556.368469,1,1.838086
1750356556.418634,2,1.778134
