timestamp,num_objects,min_ttc
1750356968.325619,0,inf
1750356968.347449,0,inf
1750356968.372241,0,inf
1750356968.396662,1,inf
1750356968.458383,2,2.257461
1750356968.696365,3,2.124191
1750356968.748839,1,inf
1750356968.895574,3,2.564189
1750356968.954875,0,inf
1750356969.099304,3,2.368849
1750356969.253606,2,2.114750
1750356969.334790,1,2.545647
1750356969.385404,3,1.860223
1750356969.545586,3,1.516790
1750356969.750636,0,inf
1750356969.883848,2,1.204819
1750356970.081416,1,1.113903
1750356970.241170,0,inf
1750356970.378536,0,inf
1750356970.607920,0,inf
1750356970.689253,0,inf
1750356970.741370,1,2.335275
1750356970.987737,4,1.870066
1750356971.030896,2,1.735882
1750356971.306531,2,1.441790
1750356971.534955,1,1.080985
1750356971.600315,1,1.136428
1750356971.680266,1,inf
1750356971.792470,1,inf
1750356971.841433,0,inf
1750356971.874686,0,inf
1750356972.147059,0,inf
1750356972.230611,0,inf
1750356972.321289,0,inf
1750356972.496605,1,1.756205
1750356972.734765,1,1.276579
1750356972.882848,1,1.202097
1750356973.019046,1,1.073531
1750356973.082749,0,inf
1750356973.308749,0,inf
1750356973.430996,0,inf
