timestamp,num_objects,min_ttc
1750342648.812668,0,inf
1750342648.898607,0,inf
1750342649.056586,2,4.393786
1750342649.157940,5,3.227109
1750342649.220436,7,2.700736
1750342649.450871,2,2.414507
1750342649.620273,3,2.259782
1750342649.683753,1,2.015697
1750342649.872064,3,1.724733
1750342649.940061,5,1.565459
1750342650.058149,6,1.546982
1750342650.249172,4,1.737913
1750342650.288605,3,2.113538
1750342650.444510,6,1.664938
1750342650.501881,3,1.777013
1750342650.685993,4,1.685780
1750342650.762132,0,inf
1750342650.926006,0,inf
1750342651.011844,6,1.518090
1750342651.165339,4,1.600169
1750342651.268386,2,1.354471
1750342651.400295,1,2.644210
1750342651.504074,3,1.972238
1750342651.555647,3,1.363558
1750342651.686804,6,1.955208
1750342651.730546,3,1.688884
1750342651.771434,3,2.170571
1750342651.888503,3,1.920085
1750342651.939491,2,3.012514
1750342651.985503,2,1.980304
1750342652.147097,3,2.136829
1750342652.295230,2,1.770943
1750342652.527553,4,1.863586
1750342652.651428,4,1.651195
1750342654.910730,2,1.525927
1750342655.047293,1,2.237672
1750342657.217163,1,1.708373
1750342657.331765,2,1.891447
1750342657.484597,2,1.790008
1750342657.640630,2,1.760082
1750342657.747610,1,1.881832
1750342657.912547,0,inf
1750342658.689870,0,inf
1750342658.780496,0,inf
1750342658.973534,0,inf
