timestamp,num_objects,min_ttc
1750356687.643568,0,inf
1750356687.661235,0,inf
1750356701.506386,0,inf
1750356701.618044,1,3.905913
1750356701.807449,2,2.251222
1750356701.894213,2,2.209439
1750356702.082976,3,2.098360
1750356702.169880,2,2.512768
1750356702.204325,0,inf
1750356702.383038,0,inf
1750356702.423712,0,inf
1750356702.573547,0,inf
1750356702.709550,0,inf
1750356702.907532,1,5.586045
1750356702.984602,2,2.930008
1750356703.227547,3,2.730917
1750356703.454652,1,2.487638
1750356703.489446,3,2.114560
1750356703.906387,2,1.838617
1750356704.087564,3,1.630468
1750356704.127491,1,1.665980
1750356704.217080,2,1.614538
1750356704.405243,2,3.788485
1750356704.594796,1,3.560916
1750356705.017365,1,3.296412
1750356705.162996,1,3.156827
1750356705.306574,2,3.215456
1750356705.421694,2,3.577332
1750356705.527274,3,3.121263
1750356705.663980,4,3.118299
1750356705.816244,3,3.845954
1750356705.858093,3,3.879040
1750356706.019911,2,4.177535
1750356706.097249,2,3.936736
1750356706.485138,2,3.523764
1750356706.530980,2,3.684461
1750356706.572420,2,3.690782
1750356706.606551,2,3.624668
1750356706.757407,4,3.239651
1750356706.921954,2,3.322681
